DateTime,Power,Irradiance
1/5/2021 1:00,0,0
1/5/2021 2:00,0,0
1/5/2021 3:00,0,0
1/5/2021 4:00,0,0
1/5/2021 5:00,0,0
1/5/2021 6:00,1.355,0
1/5/2021 7:00,35.219,2.12
1/5/2021 8:00,99.651,36.117
1/5/2021 9:00,133.939,97.294
1/5/2021 10:00,215.373,129.795
1/5/2021 11:00,127.25,206.729
1/5/2021 12:00,107.661,124.114
1/5/2021 13:00,171.008,105.534
1/5/2021 14:00,101.272,165.272
1/5/2021 15:00,56.094,99.494
1/5/2021 16:00,21.858,56.662
1/5/2021 17:00,1.221,23.591
1/5/2021 18:00,0,2.012
1/5/2021 19:00,0,0
1/5/2021 20:00,0,0
1/5/2021 21:00,0,0.001
1/5/2021 22:00,0,0
1/5/2021 23:00,0,0
1/6/2021 0:00,0,0.001
1/6/2021 1:00,0,0.001
1/6/2021 2:00,0,0.001
1/6/2021 3:00,0,0.001
1/6/2021 4:00,0,0.001
1/6/2021 5:00,0,0.001
1/6/2021 6:00,0.898,0.001
1/6/2021 7:00,23.766,1.728
1/6/2021 8:00,57.457,25.17
1/6/2021 9:00,131.636,57.59
1/6/2021 10:00,308.375,127.224
1/6/2021 11:00,217.535,294.558
1/6/2021 12:00,146.007,209.289
1/6/2021 13:00,153.804,141.327
1/6/2021 14:00,145.615,148.835
1/6/2021 15:00,99.598,141.291
1/6/2021 16:00,32.539,97.956
1/6/2021 17:00,2.287,34.01
1/6/2021 18:00,0,3.212
1/6/2021 19:00,0,0
1/6/2021 20:00,0,0
1/6/2021 21:00,0,0
1/6/2021 22:00,0,0
1/6/2021 23:00,0,0
1/7/2021 0:00,0,0
1/7/2021 1:00,0,0
1/7/2021 2:00,0,0
1/7/2021 3:00,0,0
1/7/2021 4:00,0,0
1/7/2021 5:00,0,0
1/7/2021 6:00,0.237,0.001
1/7/2021 7:00,5.737,0.717
1/7/2021 8:00,29.242,7.685
1/7/2021 9:00,59.986,31.06
1/7/2021 10:00,68.763,60.016
1/7/2021 11:00,91.68,67.725
1/7/2021 12:00,91.12,87.872
1/7/2021 13:00,75.227,86.903
1/7/2021 14:00,88.815,72.184
1/7/2021 15:00,43.169,84.882
1/7/2021 16:00,11.93,42.691
1/7/2021 17:00,0.452,13.202
1/7/2021 18:00,0,0.969
1/7/2021 19:00,0,0
1/7/2021 20:00,0,0
1/7/2021 21:00,0,0
1/7/2021 22:00,0,0
1/7/2021 23:00,0,0
1/8/2021 0:00,0,0
1/8/2021 1:00,0,0
1/8/2021 2:00,0,0
1/8/2021 3:00,0,0
1/8/2021 4:00,0,0
1/8/2021 5:00,0,0
1/8/2021 6:00,0.671,0
1/8/2021 7:00,16.415,1.123
1/8/2021 8:00,50.644,17.478
1/8/2021 9:00,107.022,49.098
1/8/2021 10:00,149.094,99.9
1/8/2021 11:00,327.642,137.702
1/8/2021 12:00,436.235,299.943
1/8/2021 13:00,345.645,400.115
1/8/2021 14:00,241.88,316.845
1/8/2021 15:00,164.142,222.156
1/8/2021 16:00,53.23,151.862
1/8/2021 17:00,4.295,51.508
1/8/2021 18:00,0,5.109
1/8/2021 19:00,0,0
1/8/2021 20:00,0,0
1/8/2021 21:00,0,0
1/8/2021 22:00,0,0
1/8/2021 23:00,0,0
1/9/2021 0:00,0,0
1/9/2021 1:00,0,0
1/9/2021 2:00,0,0
1/9/2021 3:00,0,0
1/9/2021 4:00,0,0
1/9/2021 5:00,0,0
1/9/2021 6:00,1.976,0
1/9/2021 7:00,41.529,2.633
